Year,Renewables share (%)
2015,28.27334974606795
2016,29.27628032141888
2017,29.98326904003032
2018,30.837119593954192
2019,32.3004617317242
2020,34.53549299662671
2021,34.243380341250145
2022,35.688853609671966
2023,36.67235729437001
2024,38.63391412567627
2025,40.80244562398227
